cuenta;area
100289;142.473403
1016534-2;1461.319374
102-3;5289.98664
1022084-K;3124.376208
1022354-7;2222.629194
1034153-1;334.481489
1035655-5;334.481489
103678;123.71129
1040468-1;0
1040473-8;0
1044596-5;447.57454
1045586-3;2046.748876
1049608-K;2600
1052354-0;964.278642
1054239-1;762.599628
1055994-4;633.915231
1060755;946.462468
1060817-1;551.496398
1060826-0;3820.396482
106175;714.293544
106270;7231.19726
106674-9;11762.482572
1068606;425.551524
1073777-K;780.004604
1075541-7;1523.913079
1076070-4;275.538185
1081835;2358.875684
1082300;829
1086103-9;4318.66587
1089681-9;3246.173531
110-4;1408.294146
1101538-7;926.072921
1101710-K;152.330054
1103920;1000
1110223;375
1117871-5;3466.138764
1124362-2;141.532542
1124665-6;484.060948
1127855-8;359.174106
1128189-3;354.902424
1133951-4;1530.009572
1141958-5;162.281911
11424;1733.926938
1151927;234.101857
115407;712
115488-5;1713.034936
1159836-6;573.827873
116-3;754
1166392-3;3307.648304
11775;1271.02823
117912-8;1260.476942
11797;1114.333546
11799;902.896282
1180058;400.995216
1182761-6;798.045114
11841;2391.044208
11846;1164.033983
11851;681.98501
11860;424.496816
1214352-4;202.820886
125391;136.156186
1260304-5;8407.541418
126153;249.55247
126604-7;414
1278904-1;128.416475
1293667-2;127.985947
1294063-7;189.151084
1294960-K;220.540806
1294976-6;358.117386
1297377-2;1101.791517
1300171;346
130261;121.774437
1308756-3;347.379727
1309700;211.654594
1310003-9;1876
1311554;1195.110126
131246;4091.660675
1313323-9;939.356958
1313896-6;475.224965
1319696-6;3214.892226
1321772-6;166.330978
1321892-7;131.783698
1321894-3;185.685856
1321898-6;211.996392
1321901-K;163.689178
1323341-1;257.878802
1323350-0;135.511444
1323719-0;150.089906
1323723-9;250.80314
1323724-7;154.832718
1323726-3;25.003982
1323728-K;278.271166
1323730-1;181.52758
1323731-K;161.728174
1323734-4;273.067266
1324772-2;1038.577346
1324805-2;224.924845
132851-4;1097.851659
134495;828.75776
1357054-K;169.209918
1357640-8;2015.586154
1360155;1170.387646
1363761;3389.982582
1364762;1080.171291
1365832-3;160.15937
1366504-4;1464.932463
1367345-4;438.979374
1368962-8;197.938064
1370768-5;390.474572
1374479;17851.130788
1374555-2;238.542144
1374559-5;230.544816
1374560-9;146.22005
1374758-K;301.719914
1374798-9;222.833106
1374808-K;216.331078
1374834-9;258.636264
1374836-5;247.001502
1377308;117.321337
1381437-6;2681.997325
1382176-3;180.124018
1389667;298.835724
1393345-6;1127.42441
1397662-7;642.222386
1399802-7;1019.267272
1402560-K;1050.725598
1403331;3138.886854
1405730;3753.927758
1405733;1514.759975
1408040-6;531.094252
1410858;1000
1411181-6;348.562653
1412049-1;383.219586
1412059-9;384.761363
1412063-7;197.088208
1412085-8;386.228055
1412140-4;240.45747
1416390-5;279.493446
1416402-2;323.060122
1416410-3;205.813584
1416416-2;161.346648
1416418-9;163.94522
1416563-0;224.874442
1416568-1;218.280006
1416573-8;240.247456
1416575-4;226.008516
1416581-9;228.377472
1418181-4;187.052346
1419860;788.208272
1424278-3;440.096827
1425297;1414.575092
1433055-0;275
1436492;2768.822742
1438126;349.366808
1439260-2;74.508718
1439289-0;32.73416
1439427-3;67.598212
1439428-1;100.465381
1439435-4;44.984969
1439463-K;75.567187
1439518-0;51.624207
144-9;478.271566
1440213;74.193697
1441804-0;3621.006488
1443051;174.84914
1443986-2;1533.757478
144677-0;1833.210993
145-7;871.627528
1452995-0;2356.19801
1454100-4;2985.893068
1456584-1;212.149002
1456586-8;324.143794
1456594-9;288.080214
1456598-1;206.863652
1458512;2529.171726
1459676-3;1848.226985
1460278;1087.556778
1460743-9;296.994602
1460844-3;214.037726
1460993-8;195.225384
1461821;3392.493904
1465374-0;227.545818
1468618-5;280.74653
1468624-K;211.996392
1468714-9;300.0006
1468717-3;187.787394
1469079-4;189.516508
1469108-1;199.828356
1469115-4;218.599228
1469138-3;209.325016
1469231-2;2774.143094
1469260-6;299.986637
1469275-4;324.46021
1469276-2;313.735506
1469282-7;202.218146
1469284-3;342.966636
1469290-8;206.0586
1469292-4;333.972442
1469293-2;264.516658
1469296-7;240.413368
1469299-1;234.742992
1469300-9;212.27361
1470325-K;178.887007
1474440-1;237.455672
1475378-8;181.149556
1475715-5;1892.884329
1480458-7;434.54493
1484815-0;1326.631308
1504304-0;189.117482
1524563;1521.865444
1538369;130
153960;223.48835
1542105;320
1544699-4;2298.439353
154556-6;10016.148015
1549449;355
1554134;175
1554135;175
1554136;175
1559440;174.683404
15626;1341.288525
156955;526.854772
1572364-5;591.259024
15902;1664.763351
160426;2505.518328
162-7;3100
1626528-4;1755.43586
1630119-1;2623.583719
1635600;6711.692968
1645879-1;1155.072102
